ingredient	name	page	notes
Allspice/Pimento Dram	Mosquito Coast	263	St. Elizabeth Allspice Dram
Allspice/Pimento Dram	Drunken Dodo	267	St. Elizabeth Allspice Dram
Amaretto	Old Ironsides	179	Lazzaroni Amaretto
Amaretto	Almond Brother	181	Amaretto
Amaretto	Spanish Caravan	195	Lazzaroni Amaretto
Amaretto	Solera Sidecar	215	Lazzaroni Amaretto
Amaro (Abano)	Sweep The Leg	202	Luxardo Amaro Abano
Amaro (Aperol)	Gypsy Eyes	157	Aperol
Amaro (Aperol)	Kew Gardens Cooler	157	Aperol
Amaro (Aperol)	Naked And Famous	185	Aperol
Amaro (Aperol)	B.A.F.	204	Aperol
Amaro (Aperol)	Lily’s Cartel	224	Aperol
Amaro (Aperol)	Billingsley Punch	232	Aperol
Amaro (Aperol)	Fail-Safe	258	Aperol
Amaro (Aperol)	Daisy Buchanan	267	Aperol
Amaro (Averna)	Perfect Crime	193	Amaro Averna
Amaro (Averna)	Blue Run Sling	198	Amaro Averna
Amaro (Averna)	Bay City Roller	255	Amaro Averna
Amaro (Averna)	The Black Prince	267	Amaro Averna
Amaro (Campari)	Boulevardier	140	Campari
Amaro (Campari)	La Rosita	144	Campari
Amaro (Campari)	Lucien Gaudin	144	Campari
Amaro (Campari)	Negroni	147	Campari
Amaro (Campari)	Old Pal	148	Campari
Amaro (Campari)	Tailspin	152	Campari
Amaro (Campari)	Arrack Strap	175	Campari
Amaro (Campari)	Golden Beautiful	184	Campari
Amaro (Campari)	Deadpan Fix	199	Campari
Amaro (Campari)	Cure For Pain	205	Campari
Amaro (Campari)	La Dolce Vita	206	Campari
Amaro (Campari)	Golden Gate	211	Campari
Amaro (Campari)	Bitter French	220	Campari
Amaro (Campari)	The Bittenbender	220	Cacao Nib–Infused Campari
Amaro (Campari)	Flaquita	223	Campari
Amaro (Campari)	Trapeze	227	Campari
Amaro (Campari)	Café Sandinista	229	Coffee- And Chile-Infused Campari
Amaro (Campari)	Baltasar And Blimunda	258	Campari
Amaro (Campari)	House Of Payne	258	Campari
Amaro (Campari)	Kingston Negroni	259	Campari
Amaro (Campari)	Mañanita	259	Coffee- And Chile-Infused Campari
Amaro (Campari)	Range Life	259	Campari
Amaro (Campari)	Uno, Dos, Tres	259	Campari
Amaro (Campari)	Benjamin Barker Daiquiri	261	Campari
Amaro (Cardamaro)	Le Subtil	165	Cardamaro
Amaro (Cardamaro)	The Gift Shop	172	Cardamaro
Amaro (Cardamaro)	Midnight Mass	178	Cardamaro
Amaro (Cardamaro)	Los Amargos	185	Cardamaro
Amaro (Ciociaro)	Brooklyn	140	Amaro Ciociaro
Amaro (Ciociaro)	Aperitivo Julep	242	Amaro Ciociaro
Amaro (Ciociaro)	Jive Turkey	268	Amaro Ciociaro
Amaro (Ciociaro)	Mi Amaro	268	Amaro Ciociaro
Amaro (Cynar)	Cynartown	162	Cynar
Amaro (Cynar)	Grand Street	163	Cynar
Amaro (Cynar)	Le Bateleur	165	Cynar
Amaro (Cynar)	Yeomen Warder	169	Cynar
Amaro (Cynar)	Ty Cobbler	189	Cynar
Amaro (Cynar)	Augie March	190	Cynar
Amaro (Cynar)	Prima China	193	Cynar
Amaro (Cynar)	Te Amo	195	Cynar
Amaro (Cynar)	Stringer Bell	231	Cynar
Amaro (Cynar)	Little Kingdom	253	Cynar
Amaro (Cynar)	Uno, Dos, Tres	259	Cynar
Amaro (Fernet-Branca)	Hanky-Panky	144	Fernet-Branca
Amaro (Fernet-Branca)	Toronto	152	Fernet-Branca
Amaro (Fernet-Branca)	Frisco Club	155	Fernet-Branca
Amaro (Fernet-Branca)	Howl On The Hill	178	Fernet-Branca
Amaro (Fernet-Branca)	Black Magic	216	Fernet-Branca
Amaro (Lucano)	Dick Brautigan	162	Amaro Lucano
Amaro (Lucano)	Lucino’s Delight	166	Amaro Lucano
Amaro (Meletti)	Pressure Drop	169	Amaro Meletti
Amaro (Meletti)	Paddy Melt	201	Amaro Meletti
Amaro (Nardini)	Key Party	165	Amaro Nardini
Amaro (Nardini)	Carroll Gardens	205	Amaro Nardini
Amaro (Nardini)	Midnight Mountain	231	Amaro Nardini
Amaro (Nonino)	Los Amargos	185	Amaro Nonino
Amaro (Nonino)	Spaghetti Western	194	Amaro Nonino
Amaro (Nonino)	Swearengen Sling	202	Amaro Nonino
Amaro (Nonino)	La Viáa	206	Amaro Nonino
Amaro (Nonino)	Sweet And Vicious	208	Amaro Nonino
Amaro (Nonino)	Legend	217	Amaro Nonino
Amaro (Nonino)	Rugby Punch	241	Amaro Nonino
Amaro (Ramazzotti)	East India Trading Co.	176	Ramazzotti
Amaro (Ramazzotti)	Manhattan Transfer	206	Ramazzotti
Apéritif (???)	Fair Fault	230	Pasquet Pineau Des Charentes
Aperitif (Cocchi Americano)	20th Century	139	Cocchi Americano
Aperitif (Cocchi Americano)	Vesper	152	Cocchi Americano
Aperitif (Cocchi Americano)	Imperial March	163	Cocchi Americano
Aperitif (Cocchi Americano)	Green And Red	192	Cocchi Americano
Aperitif (Cocchi Americano)	Rebel Rebel	193	Cocchi Americano Rosa
Aperitif (Cocchi Americano)	Trembling Bell	209	Cocchi Americano
Aperitif (Cocchi Americano)	Sade’s Taboo	219	Cocchi Americano
Aperitif (Cocchi Americano)	Sweet Hereafter	219	Cocchi Americano
Aperitif (Cocchi Americano)	Schuman’s Alley	231	Cocchi Americano
Aperitif (Gentiane-Quina)	Overhead Smash	158	Bonal Gentiane-Quina
Aperitif (Gentiane-Quina)	Key Party	165	Bonal Gentiane-Quina
Aperitif (Gentiane-Quina)	Evil Dead Punch	234	Bonal Gentiane-Quina
Aperitif (Raspberry)	Perfect Crime	193	Pasquet Marie-Framboise
Aperitif (Salers Gentian)	Radio Days	226	Salers Gentien Aperitif
Apperitif (Lillet Blanc)	Corpse Reviver #2	141	Lillet Blanc
Apperitif (Lillet Blanc)	Summer Shack	169	Lillet Blanc
Apperitif (Lillet Blanc)	Last Train To Oaxaca	192	Lillet Blanc
Apperitif (Lillet Blanc)	Derby Girl	229	Lillet Blanc
Apperitif (Lillet Blanc)	Great Northern	254	Lillet Blanc
Apperitif (Lillet Rosé)	Run For The Roses	227	Rose-Infused Lillet Rosé
Apperitif (Lillet Rosé)	Guns And Rosé	256	Lillet Rosé
Apperitif (Lillet Rouge)	19th Century	197	Lillet Rouge
Apperitif (Lillet Rouge)	Bourbonnais Swizzle	248	Lillet Rouge
Apricot Liqueur	Petticoat	159	Marie Brizard Apricot Liqueur
Apricot Liqueur	Flor De Jerez	171	Rothman & Winter Apricot Liqueur
Apricot Liqueur	Almond Brother	181	Rothman & Winter Apricot Liqueur
Apricot Liqueur	Evil Dead Punch	234	Rothman & Winter Apricot Liqueur
Apricot Liqueur	Pic-A-De-Crop Punch	239	Rothman & Winter Apricot Liqueur
Aquavit	Gypsy Wedding	157	Krogstad Aquavit
Aquavit	Jesper Lind	165	Linie Aquavit
Aquavit	May Fair	166	Krogstad Aquavit
Aquavit	May Fair	166	Linie Aquavit
Aquavit	Fair Lady	222	Krogstad Aquavit
Aquavit	Lust For Life Punch	237	Krogstad Aquavit
Aquavit	Great Northern	254	Linie Aquavit
Aquavit	One, One, One	254	Krogstad Aquavit
Aquavit	Over And Out	254	Krogstad Aquavit
Aquavit	Slap ‘N’ Pickle	254	Krogstad Aquavit
Aquavit	Enemy Lines	256	Linie Aquavit
Aquavit	Meridian Daiquiri	263	Linie Aquavit
Au Choix	Black Market Sling	252	Plymouth Gin, Scarlet Ibis Rum, Bernheim Wheat Whiskey, Rittenhouse 100 Rye, Laird’s Bonded Apple Brandy, Hine H Cognac
Au Choix	Coin Toss	252	Rittenhouse 100 Rye, Laird’s Bonded Apple Brandy, Santa Teresa 1796 Rum, Hine H Cognac, Famous Grouse Scotch
Au Choix	Electric Kool-Aid Acid Test	252	Plymouth Gin, Scarlet Ibis Rum, Laird’s Bonded Apple Brandy, Siembra Azul Blanco Tequila
Au Choix	Little Kingdom	253	El Tesoro Reposado Tequila, Beefeater London Dry Gin, Compass Box Asyla Scotch, Rittenhouse 100 Rye, Hine H Cognac
Au Choix	St-Germain Redux	253	Beefeater London Dry Gin, Appleton Estate V/X Rum, Siembra Azul Blanco Tequila, Compass Box Asyla Scotch, Calvados, Hine H Cognac
Batavia Arrack	18th Century	170	Van Oosten Batavia Arrack
Batavia Arrack	Arrack Strap	175	Van Oosten Batavia Arrack
Batavia Arrack	Passing Aden	179	Van Oosten Batavia Arrack
Batavia Arrack	Shattered Glasser	194	Van Oosten Batavia Arrack
Batavia Arrack	Night Owl	218	Van Oosten Batavia Arrack
Batavia Arrack	Arrack Punch	232	Van Oosten Batavia Arrack
Batavia Arrack	Pic-A-De-Crop Punch	239	Van Oosten Batavia Arrack
Batavia Arrack	Arrackuiri	260	Van Oosten Batavia Arrack
Batavia Arrack	D.W.B.	261	Van Oosten Batavia Arrack
Batavia Arrack	Javanese Daiquiri	262	Van Oosten Batavia Arrack
Beer (Double/Imperial Ipa)	Strange Brew	160	Green Flash Ipa
Beer (Schwarzbier)	Dirty Mary, Crazy Larry	222	Full Sail Session Black Lager
Beer (Sweet/Milk Stout)	Iron Chancellor	223	Mackeson Stout
Beer (Vienna Lager)	El Compañero	183	Negra Modelo Beer
Beer (Witbier)	La Valentina	184	Blanche De Bruxelles Beer
Bénédictine	Preakness	149	Bénédictine
Bénédictine	Singapore Sling	151	Bénédictine
Bénédictine	Vieux Carré	153	Bénédictine
Bénédictine	May Fair	166	Bénédictine
Bénédictine	Midnight Mass	178	Bénédictine
Bénédictine	Chingon	182	Bénédictine
Bénédictine	Nitty-Gritty	192	Bénédictine
Bénédictine	Shattered Glasser	194	Bénédictine
Bénédictine	Spanish Caravan	195	Bénédictine
Bénédictine	Shruff’s End	208	Bénédictine
Bénédictine	Wicked Kiss	209	Bénédictine
Bénédictine	Enchanted Orchard	210	Bénédictine
Bénédictine	Golden Gate	211	Bénédictine
Bénédictine	Little Miss Annabelle	213	Bénédictine
Bénédictine	Poire Man’s Cobbler	214	Bénédictine
Bénédictine	Sidewinder	219	Bénédictine
Bénédictine	Cynaro De Bergerac	229	Bénédictine
Bénédictine	Coin Toss	252	Bénédictine
Bénédictine	Sforzando	269	Bénédictine
Bitters (Abbott)	Bumboo	176	Abbott’s Bitters
Bitters (Apple)	Nitty-Gritty	192	Bar Code Baked Apple Bitters
Bitters (Aromatic)	Bamboo	140	Angostura Bitters
Bitters (Aromatic)	Champs-Élysées	141	Angostura Bitters
Bitters (Aromatic)	Cobra’s Fang	141	Angostura Bitters
Bitters (Aromatic)	Fancy-Free	142	Angostura Bitters
Bitters (Aromatic)	Fitzgerald	142	Angostura Bitters
Bitters (Aromatic)	Flamenco	142	Angostura Bitters
Bitters (Aromatic)	La Rosita	144	Angostura Bitters
Bitters (Aromatic)	Mai Tai	144	Angostura Bitters
Bitters (Aromatic)	Manhattan	145	Angostura Bitters
Bitters (Aromatic)	Mojito	147	Angostura Bitters
Bitters (Aromatic)	Mudslide Flip	147	Angostura Bitters
Bitters (Aromatic)	Old-Fashioned	147	Angostura Bitters
Bitters (Aromatic)	Old-Fashioned	147	Bitter Truth Aromatic Bitters
Bitters (Aromatic)	Piña Colada	148	Angostura Bitters
Bitters (Aromatic)	Preakness	149	Bitter Truth Aromatic Bitters
Bitters (Aromatic)	Queen’s Park Swizzle	150	Angostura Bitters
Bitters (Aromatic)	Rob Roy	150	Angostura Bitters
Bitters (Aromatic)	Rusty Nail	151	Bitter Truth Aromatic Bitters
Bitters (Aromatic)	Sazerac	151	Angostura Bitters
Bitters (Aromatic)	Singapore Sling	151	Angostura Bitters
Bitters (Aromatic)	South Side	151	Angostura Bitters
Bitters (Aromatic)	Vieux Carré	153	Angostura Bitters
Bitters (Aromatic)	Zombie Punch	153	Angostura Bitters
Bitters (Aromatic)	Cádiz Collins	154	Fee Brothers Whiskey Barrel-Aged Bitters
Bitters (Aromatic)	Overhead Smash	158	Angostura Bitters
Bitters (Aromatic)	European Union	162	Bitter Truth Aromatic Bitters
Bitters (Aromatic)	Gonzalez	163	Bitter Truth Aromatic Bitters
Bitters (Aromatic)	Hostage Situation	163	Angostura Bitters
Bitters (Aromatic)	Le Bateleur	165	Angostura Bitters
Bitters (Aromatic)	Mainland	166	Angostura Bitters
Bitters (Aromatic)	May Fair	166	Angostura Bitters
Bitters (Aromatic)	Night Watch	167	Angostura Bitters
Bitters (Aromatic)	Pressure Drop	169	Angostura Bitters
Bitters (Aromatic)	Wooden Ship	169	Fee Brothers Whiskey Barrel-Aged Bitters
Bitters (Aromatic)	Company Buck	170	Angostura Bitters
Bitters (Aromatic)	Flor De Jerez	171	Angostura Bitters
Bitters (Aromatic)	Kerala	172	Angostura Bitters
Bitters (Aromatic)	The Gift Shop	172	Angostura Bitters
Bitters (Aromatic)	Koko B. Ware	173	Angostura Bitters
Bitters (Aromatic)	Cortado	176	Angostura Bitters
Bitters (Aromatic)	Hadley’s Tears	178	Bitter Truth Aromatic Bitters
Bitters (Aromatic)	Old Ironsides	179	Fee Brothers Whiskey Barrel-Aged Bitters
Bitters (Aromatic)	Passing Aden	179	Bitter Truth Aromatic Bitters
Bitters (Aromatic)	Piña Colada Deconstruction	179	Angostura Bitters
Bitters (Aromatic)	Rock, Paper, Scissors	180	Angostura Bitters
Bitters (Aromatic)	Velvet Warhol	180	Bitter Truth Aromatic Bitters
Bitters (Aromatic)	Cinder	182	Angostura Bitters
Bitters (Aromatic)	Dhalgren	182	Angostura Bitters
Bitters (Aromatic)	Smoked Horchata	187	Angostura Bitters
Bitters (Aromatic)	Imaginary Grace	192	Angostura Bitters
Bitters (Aromatic)	Nitty-Gritty	192	Bitter Truth Aromatic Bitters
Bitters (Aromatic)	Crane Kick	198	Angostura Bitters
Bitters (Aromatic)	Doc’s Dram	199	Angostura Bitters
Bitters (Aromatic)	Dr. Feelgood	199	Angostura Bitters
Bitters (Aromatic)	Eye Of The Torino	200	Angostura Bitters
Bitters (Aromatic)	Fix Me Up	200	Angostura Bitters
Bitters (Aromatic)	Honshu Punch	200	Fee Brothers Whiskey Barrel-Aged Bitters
Bitters (Aromatic)	Honshu Punch	200	Bitter Truth Aromatic Bitters
Bitters (Aromatic)	Sweep The Leg	202	Angostura Bitters
Bitters (Aromatic)	Vampire Blues	203	Angostura Bitters
Bitters (Aromatic)	Warehouse C	203	Bitter Truth Aromatic Bitters
Bitters (Aromatic)	Black Market Manhattan	204	Angostura Bitters
Bitters (Aromatic)	Wicked Kiss	209	Angostura Bitters
Bitters (Aromatic)	Banana Cognac	210	Angostura Bitters
Bitters (Aromatic)	Don’t Sit Under The Apple	210	Fee Brothers Whiskey Barrel-Aged Bitters
Bitters (Aromatic)	Heart-Shaped Box	211	Angostura Bitters
Bitters (Aromatic)	Hoi Polloi	211	Angostura Bitters
Bitters (Aromatic)	Stick The Landing	215	Angostura Bitters
Bitters (Aromatic)	Black Market Brandy	216	Angostura Bitters
Bitters (Aromatic)	Legend	217	Bitter Truth Aromatic Bitters
Bitters (Aromatic)	Legend	217	Angostura Bitters
Bitters (Aromatic)	Les Verts Monts	217	Angostura Bitters
Bitters (Aromatic)	Martica	218	Angostura Bitters
Bitters (Aromatic)	Widow’s Laurel	219	Angostura Bitters
Bitters (Aromatic)	Fancy Holland Royale	223	Fee Brothers Whiskey Barrel-Aged Bitters
Bitters (Aromatic)	Irish Seelbach	223	Angostura Bitters
Bitters (Aromatic)	Radio Days	226	Angostura Bitters
Bitters (Aromatic)	South Sider	227	Angostura Bitters
Bitters (Aromatic)	Susie Q	227	Angostura Bitters
Bitters (Aromatic)	Trapeze	227	Fee Brothers Whiskey Barrel-Aged Bitters
Bitters (Aromatic)	Have At It	230	Angostura Bitters
Bitters (Aromatic)	Arrack Punch	232	Bitter Truth Aromatic Bitters
Bitters (Aromatic)	Evil Dead Punch	234	Angostura Bitters
Bitters (Aromatic)	Hoist The Colours Punch	236	Angostura Bitters
Bitters (Aromatic)	Lights Out Punch	237	Angostura Bitters
Bitters (Aromatic)	Lights Out Punch	237	Fee Brothers Whiskey Barrel-Aged Bitters
Bitters (Aromatic)	Pic-A-De-Crop Punch	239	Angostura Bitters
Bitters (Aromatic)	Double-Barrel Julep	242	Fee Brothers Whiskey Barrel-Aged Bitters
Bitters (Aromatic)	Racketeer Julep	244	Bitter Truth Aromatic Bitters
Bitters (Aromatic)	Chinese Fizz	245	Angostura Bitters
Bitters (Aromatic)	Jack Sparrow Flip	245	Fee Brothers Whiskey Barrel-Aged Bitters
Bitters (Aromatic)	Jelly Roll Morton	246	Angostura Bitters
Bitters (Aromatic)	Raisin Burn	246	Angostura Bitters
Bitters (Aromatic)	Saturday Morning Flip	247	Angostura Bitters
Bitters (Aromatic)	6th Street Swizzle	248	Angostura Bitters
Bitters (Aromatic)	Coffey Park Swizzle	249	Angostura Bitters
Bitters (Aromatic)	Dj Flamethrower	249	Angostura Bitters
Bitters (Aromatic)	Dolores Park Swizzle	249	Angostura Bitters
Bitters (Aromatic)	Hyde Park Swizzle	250	Angostura Bitters
Bitters (Aromatic)	Jalisco Swizzle	250	Angostura Bitters
Bitters (Aromatic)	Park Life Swizzle	251	Angostura Bitters
Bitters (Aromatic)	Robert Johnson Swizzle	251	Fee Brothers Whiskey Barrel-Aged Bitters
Bitters (Aromatic)	Snake Hips Swizzle	251	Angostura Bitters
Bitters (Aromatic)	Black Market Sling	252	Angostura Bitters
Bitters (Aromatic)	Enemy Lines	256	Bitter Truth Aromatic Bitters
Bitters (Aromatic)	Hallyday	256	Angostura Bitters
Bitters (Aromatic)	Latin Quarter	257	Angostura Bitters
Bitters (Aromatic)	Saz Who?	257	Angostura Bitters
Bitters (Aromatic)	Fail-Safe	258	Angostura Bitters
Bitters (Aromatic)	Autumn Daiquiri	260	Angostura Bitters
Bitters (Aromatic)	Linbaba Daiquiri	262	Angostura Bitters
Bitters (Aromatic)	Drunken Dodo	267	Angostura Bitters
Bitters (Aromatic)	Jive Turkey	268	Angostura Bitters
Bitters (Aromatic)	Pisco Inferno	269	Fee Brothers Whiskey Barrel-Aged Bitters
Bitters (Aromatic)	Stolen Huffy	269	Angostura Bitters
Bitters (Aromatic)	Conference	270	Angostura Bitters
Bitters (Aromatic)	Death From Above	270	Angostura Bitters
Bitters (Aromatic)	Headstone	272	Angostura Bitters
Bitters (Aromatic)	Jekyll And Hyde	272	Bitter Truth Aromatic Bitters
Bitters (Aromatic)	Jekyll And Hyde	272	Angostura Bitters
Bitters (Aromatic)	La Conferencia	272	Angostura Bitters
Bitters (Aromatic)	North Garden	273	Angostura Bitters
Bitters (Aromatic)	Oaxaca Old-Fashioned	273	Angostura Bitters
Bitters (Aromatic)	Tea Time At Guillermo’s	273	Fee Brothers Whiskey Barrel-Aged Bitters
Bitters (Becherovka)	P-Five Punch	238	Becherovka Bitters
Bitters (Celery)	Mexi-Gin Martini	166	Bitter Truth Celery Bitters
Bitters (Celery)	Over And Out	254	Bitter Truth Celery Bitters
Bitters (Celery)	Slap ‘N’ Pickle	254	Bitter Truth Celery Bitters
Bitters (Cherry Bark And Vanilla)	Howlin’ At The Moon	163	Bittercube Cherry Bark And Vanilla Bitters
Bitters (Cherry Bark And Vanilla)	Eagle-Eye Cherry	176	Bittercube Cherry Bark And Vanilla Bitters
Bitters (Chocolate)	Angie’s Secret	175	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Arrack Strap	175	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Cortado	176	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	East India Trading Co.	176	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Rock, Paper, Scissors	180	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Ty Cobbler	189	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Broken Oath	190	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Dale Cooper	190	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Imaginary Grace	192	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Prima China	193	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Sergio Leone	194	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Shattered Glasser	194	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Te Amo	195	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Eye Of The Torino	200	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Sweep The Leg	202	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Coffee And Cigarettes	205	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Port Authority	214	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Lilywhacker	218	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Cynaro De Bergerac	229	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Nuts And Sherry Punch	238	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Le Gigot Flip	246	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Sangria Swizzle	251	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Latin Quarter	257	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Uno, Dos, Tres	259	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Red Ant	269	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Sforzando	269	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	Conference	270	Bittermens Xocolatl Mole Bitters
Bitters (Chocolate)	La Conferencia	272	Bittermens Xocolatl Mole Bitters
Bitters (Creole)	Pendennis Club Cocktail	148	House Peychaud’s Bitters
Bitters (Creole)	Queen’s Park Swizzle	150	House Peychaud’s Bitters
Bitters (Creole)	Sazerac	151	Peychaud’s Bitters
Bitters (Creole)	Vieux Carré	153	House Peychaud’s Bitters
Bitters (Creole)	City Of Gold Sling	155	House Peychaud’s Bitters
Bitters (Creole)	Light And Day	165	House Peychaud’s Bitters
Bitters (Creole)	May Fair	166	House Peychaud’s Bitters
Bitters (Creole)	The Monroe	166	House Peychaud’s Bitters
Bitters (Creole)	Kerala	172	House Peychaud’s Bitters
Bitters (Creole)	Bumboo	176	House Peychaud’s Bitters
Bitters (Creole)	Puerto Rican Racer	179	House Peychaud’s Bitters
Bitters (Creole)	Bella Cohen	204	House Peychaud’s Bitters
Bitters (Creole)	Scotch Dram	208	House Peychaud’s Bitters
Bitters (Creole)	Shruff’s End	208	House Peychaud’s Bitters
Bitters (Creole)	Little Miss Annabelle	213	House Peychaud’s Bitters
Bitters (Creole)	Poire Man’s Cobbler	214	House Peychaud’s Bitters
Bitters (Creole)	Sloe Scobeyville Sling	214	Peychaud’s Bitters
Bitters (Creole)	Black Market Brandy	216	House Peychaud’s Bitters
Bitters (Creole)	Castle Of Córdoba	216	House Peychaud’s Bitters
Bitters (Creole)	Little Sparrow	218	House Peychaud’s Bitters
Bitters (Creole)	Sidewinder	219	House Peychaud’s Bitters
Bitters (Creole)	Dick And Jane	221	House Peychaud’s Bitters
Bitters (Creole)	Dragon Lily	222	House Peychaud’s Bitters
Bitters (Creole)	Irish Seelbach	223	House Peychaud’s Bitters
Bitters (Creole)	South Sider	227	House Peychaud’s Bitters
Bitters (Creole)	Billingsley Punch	232	House Peychaud’s Bitters
Bitters (Creole)	Drunken Punch	234	House Peychaud’s Bitters
Bitters (Creole)	Hyde Park Swizzle	250	Peychaud’s Bitters
Bitters (Creole)	Robert Johnson Swizzle	251	House Peychaud’s Bitters
Bitters (Creole)	Coin Toss	252	House Peychaud’s Bitters
Bitters (Creole)	Alembic	255	House Peychaud’s Bitters
Bitters (Creole)	Creole Saz	255	House Peychaud’s Bitters
Bitters (Creole)	Devil Inside	256	House Peychaud’s Bitters
Bitters (Creole)	Enemy Lines	256	House Peychaud’s Bitters
Bitters (Creole)	Guns And Rosé	256	House Peychaud’s Bitters
Bitters (Creole)	Latin Quarter	257	House Peychaud’s Bitters
Bitters (Creole)	Saz Who?	257	House Peychaud’s Bitters
Bitters (Creole)	Navigator	268	House Peychaud’s Bitters
Bitters (Gran Classico)	B.A.F.	204	Gran Classico Bitter
Bitters (Gran Classico)	The Vanderbilt	259	Gran Classico Bitter
Bitters (Grapefruit)	Le Subtil	165	Bittermens Hopped Grapefruit Bitters
Bitters (Grapefruit)	Straw Dog	202	Bittermens Hopped Grapefruit Bitters
Bitters (Grapefruit)	Sade’s Taboo	219	Bittermens Hopped Grapefruit Bitters
Bitters (Grapefruit)	Sweet Hereafter	219	Bittermens Hopped Grapefruit Bitters
Bitters (Grapefruit)	Doc Daneeka Royale	222	Bittermens Hopped Grapefruit Bitters
Bitters (Grapefruit)	Schuman’s Alley	231	Bittermens Hopped Grapefruit Bitters
Bitters (Jerry Thomas)	Bumboo	176	Bitter Truth Jerry Thomas’ Bitters
Bitters (Jerry Thomas)	Midnight Mass	178	Bitter Truth Jerry Thomas’ Bitters
Bitters (Jerry Thomas)	St. James Infirmary	269	Bitter Truth Jerry Thomas’ Bitters
Bitters (Lavender)	Bee’s Knees	140	Scrappy’s Lavender Bitters
